@relation EEG_DATA-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily

@attribute AF3 {'\'All\''}
@attribute F7 {'\'(-inf-3328.155]\'','\'(3328.155-inf)\''}
@attribute F3 {'\'(-inf-1624.051]\'','\'(1624.051-2208.102]\'','\'(2208.102-inf)\''}
@attribute FC5 {'\'All\''}
@attribute T7 {'\'All\''}
@attribute P7 {'\'All\''}
@attribute O1 {'\'All\''}
@attribute O2 {'\'All\''}
@attribute P8 {'\'All\''}
@attribute T8 {'\'(-inf-2302.205]\'','\'(2302.205-inf)\''}
@attribute FC6 {'\'(-inf-3628.305]\'','\'(3628.305-inf)\''}
@attribute F4 {'\'(-inf-2732.411]\'','\'(2732.411-3206.872]\'','\'(3206.872-inf)\''}
@attribute F8 {'\'All\''}
@attribute AF4 {'\'All\''}
@attribute eyeDetection {0,1}

@data
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
'\'All\'','\'(3328.155-inf)\'','\'(2208.102-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(2302.205-inf)\'','\'(3628.305-inf)\'','\'(3206.872-inf)\'','\'All\'','\'All\'',0
